PROLIFIC_PID,exp_cond,X1_pred,X2_pred,X3_pred,X4_pred,X5_pred,X6_pred,X7_pred,X8_pred,X9_pred,X10_pred,bonus_net,total_reward,StartDate
5ea5cf7a485d2e5c73bf2503,peerincent,0.0768115942,0.002173913,0.0376811594,-0.0137681159,0.1231884058,0.0942028986,0.1311594203,0.1652173913,-0.118115942,-0.1347826087,0.3637681159,3.6137681159,2020-05-13 16:54:28
5d9a09095223b6001809f1c9,accincent,-0.2,0.2,-0.2,0.2,-0.2,0.2,0.2,-0.2,0.2,0.2,0.4,3.65,2020-05-13 17:06:29
5cfbcc1fa7f8940019cd8704,flat,0,0,0,0,0,0,0,0,0,0,0,3.25,2020-05-13 17:12:06
5ea08738ba7e69065a69c3f8,flat,0,0,0,0,0,0,0,0,0,0,0,3.25,2020-05-13 17:13:41
5eae55b5ea7260520315f02b,peerincent,-0.0913043478,-0.0166666667,-0.052173913,-0.0137681159,-0.1376811594,-0.1086956522,0.1311594203,0.1652173913,0.1036231884,0.1202898551,0.1,3.35,2020-05-13 17:19:40
5c17294778ee390001ab19e5,flat,0,0,0,0,0,0,0,0,0,0,0,3.25,2020-05-13 17:20:46
5ce649e53e496100197ae3db,accincent,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,0.2,0.2,0.2,0.2,-0.4,2.85,2020-05-13 17:20:58
5ddaa1e583e309a04100bd57,accincent,0.2,0.2,-0.2,-0.2,0.2,0.2,0.2,-0.2,0.2,-0.2,0.4,3.65,2020-05-13 17:21:13
5eb0745480b12a11c526ffc8,peerincent,-0.0913043478,-0.0166666667,0.0376811594,-0.0137681159,-0.1376811594,0.0942028986,0.1311594203,-0.1797101449,0.1036231884,0.1202898551,0.047826087,3.297826087,2020-05-13 17:21:29
5eb94f115b6de201bac4a76d,accincent,-0.2,-0.2,0.2,-0.2,-0.2,-0.2,-0.2,-0.2,0.2,0.2,-0.8,2.45,2020-05-13 17:21:59
5ba85df9c38467000173d11a,peerincent,-0.0913043478,0.002173913,-0.052173913,-0.0007246377,0.1231884058,0.0942028986,0.1311594203,-0.1797101449,0.1036231884,-0.1347826087,-0.0043478261,3.2456521739,2020-05-13 17:25:40
5ea7c40f80fdc01ad1d14ddf,flat,0,0,0,0,0,0,0,0,0,0,0,3.25,2020-05-13 17:26:52
5d9e9a41890596001b6e68e6,peerincent,-0.0913043478,-0.0166666667,-0.052173913,-0.0137681159,-0.1376811594,0.0942028986,-0.1456521739,-0.1797101449,0.1036231884,0.1202898551,-0.3188405797,2.9311594203,2020-05-13 17:28:26
5e7913d548988f0c5bd98567,flat,0,0,0,0,0,0,0,0,0,0,0,3.25,2020-05-13 17:28:50
5e98752d6bebcf0852590d7b,accincent,-0.2,0.2,0.2,-0.2,0.2,0.2,-0.2,-0.2,0.2,0.2,0.4,3.65,2020-05-13 17:30:50
5e3b0059e8f21231ec2f26d3,peerincent,0.0768115942,-0.0166666667,0.0376811594,-0.0137681159,0.1231884058,0.0942028986,0.1311594203,-0.1797101449,0.1036231884,-0.1347826087,0.2217391304,3.4717391304,2020-05-13 17:30:56
5e8f4916b8bfe108653ccd81,flat,0,0,0,0,0,0,0,0,0,0,0,3.25,2020-05-13 17:31:07
5b7f280ef366a80001263ec3,accincent,-0.2,0.2,0.2,0.2,-0.2,-0.2,0.2,0.2,-0.2,0.2,0.4,3.65,2020-05-13 17:31:46
5c54ee47d3cc6b0001d9842b,flat,0,0,0,0,0,0,0,0,0,0,0,3.25,2020-05-13 17:31:59
5df18b726f6c630ae1fbcf0b,peerincent,0.0768115942,0.002173913,0.0376811594,-0.0007246377,0.1231884058,0.0942028986,0.1311594203,0.1652173913,0.1036231884,-0.1347826087,0.5985507246,3.8485507246,2020-05-13 17:32:54
5e3b850d32667b3a17a6ea50,accincent,0.2,0.2,-0.2,-0.2,0.2,0.2,-0.2,-0.2,-0.2,-0.2,-0.4,2.85,2020-05-13 17:33:02
5ab16619c42b630001cd37d5,peerincent,0.0768115942,0.002173913,-0.052173913,-0.0007246377,0.1231884058,0.0942028986,-0.1456521739,0.1652173913,0.1036231884,0.1202898551,0.4869565217,3.7369565217,2020-05-13 17:33:08
5e45ebd018bf820d2cb9ebab,flat,0,0,0,0,0,0,0,0,0,0,0,3.25,2020-05-13 17:33:46
5e6ad51f6a8a7a08fbc77e22,accincent,-0.2,0.2,-0.2,-0.2,0.2,0.2,0.2,-0.2,0.2,-0.2,0,3.25,2020-05-13 17:34:37
5d460ce9ba790b0001dd488c,flat,0,0,0,0,0,0,0,0,0,0,0,3.25,2020-05-13 17:34:47
5a08c9a7f2e3460001edb063,accincent,-0.2,-0.2,-0.2,0.2,-0.2,-0.2,0.2,-0.2,0.2,0.2,-0.4,2.85,2020-05-13 17:35:19
5ea2108f9b5ea6120aa37230,peerincent,-0.0913043478,0.002173913,0.0376811594,-0.0007246377,-0.1376811594,-0.1086956522,0.1311594203,0.1652173913,-0.118115942,-0.1347826087,-0.2550724638,2.9949275362,2020-05-13 17:35:25
5bcb6b6d0f10750001d79240,accincent,-0.2,-0.2,0.2,-0.2,0.2,0.2,-0.2,0.2,0.2,-0.2,0,3.25,2020-05-13 17:35:46
5e0ad04c2e472534c6b6e2c7,peerincent,0.0768115942,0.002173913,0.0376811594,-0.0137681159,-0.1376811594,0.0942028986,0.1311594203,0.1652173913,0.1036231884,-0.1347826087,0.3246376812,3.5746376812,2020-05-13 17:35:52
5ebae4db41cc8b074438db70,flat,0,0,0,0,0,0,0,0,0,0,0,3.25,2020-05-13 17:35:54
5ebb26803576b50eb12d87d9,accincent,-0.2,0.2,0.2,-0.2,0.2,0.2,0.2,0.2,0.2,-0.2,0.8,4.05,2020-05-13 17:35:57
5d4dc0d7b881130016424acf,peerincent,-0.0913043478,0.002173913,0.0376811594,-0.0007246377,-0.1376811594,-0.1086956522,0.1311594203,0.1652173913,0.1036231884,-0.1347826087,-0.0333333333,3.2166666667,2020-05-13 17:36:16
5e160795265c80bf44a4cd83,peerincent,0.0768115942,0.002173913,-0.052173913,-0.0007246377,0.1231884058,-0.1086956522,0.1311594203,0.1652173913,0.1036231884,0.1202898551,0.5608695652,3.8108695652,2020-05-13 17:38:22
5ea6a0131b8dc301238698bd,peerincent,0.0768115942,-0.0166666667,0.0376811594,-0.0007246377,-0.1376811594,0.0942028986,0.1311594203,0.1652173913,0.1036231884,0.1202898551,0.5739130435,3.8239130435,2020-05-13 17:38:34
5e7995061a79d455837f95e1,flat,0,0,0,0,0,0,0,0,0,0,0,3.25,2020-05-13 17:38:36
5ea201c4e863490fe56bd385,accincent,0.2,-0.2,0.2,-0.2,-0.2,-0.2,0.2,0.2,0.2,-0.2,0,3.25,2020-05-13 17:38:52
5e755903a504390ca964c846,flat,0,0,0,0,0,0,0,0,0,0,0,3.25,2020-05-13 17:41:05
5ebb48fa86aba5115f8f33c9,accincent,-0.2,0.2,-0.2,0.2,0.2,0.2,0.2,-0.2,0.2,-0.2,0.4,3.65,2020-05-13 17:41:20
5ea755615ef67613aaaf62cd,flat,0,0,0,0,0,0,0,0,0,0,0,3.25,2020-05-13 17:41:52
5d8c46cc53b833001a4bf916,peerincent,-0.0913043478,0.002173913,0.0376811594,-0.0137681159,-0.1376811594,-0.1086956522,0.1311594203,0.1652173913,0.1036231884,-0.1347826087,-0.0463768116,3.2036231884,2020-05-13 17:43:04
5da5f72c002c29001335b57d,accincent,0.2,0.2,0.2,0.2,0.2,0.2,0.2,-0.2,0.2,0.2,1.6,4.85,2020-05-13 17:43:17
5ead1b23eb3ceb3a05e18154,accincent,-0.2,0.2,-0.2,0.2,-0.2,0.2,-0.2,-0.2,0.2,-0.2,-0.4,2.85,2020-05-13 17:43:17
