"condition","PROLIFIC_PID","task","effort","effort_time","draw","pick","age","female","US_resident","duration","training","clarity","post_quiz","quiz","quiz_correct","post_quiz_correct","min_reward","avg_reward","max_reward"
"Accuracy","58c376f9efb64f0001358464","X1",0,NA,"blue",0,35,1,1,257,"no training",5,2,2,1,1,2.05,3.5,4.85
"Accuracy","58c376f9efb64f0001358464","X10",0,NA,"yellow",0,35,1,1,257,"no training",5,2,2,1,1,2.05,3.5,4.85
"Accuracy","58c376f9efb64f0001358464","X2",0,NA,"blue",1,35,1,1,257,"no training",5,2,2,1,1,2.05,3.5,4.85
"Accuracy","58c376f9efb64f0001358464","X3",0,NA,"blue",1,35,1,1,257,"no training",5,2,2,1,1,2.05,3.5,4.85
"Accuracy","58c376f9efb64f0001358464","X4",0,NA,"yellow",1,35,1,1,257,"no training",5,2,2,1,1,2.05,3.5,4.85
"Accuracy","58c376f9efb64f0001358464","X5",1,8.8,"yellow",1,35,1,1,257,"no training",5,2,2,1,1,2.05,3.5,4.85
"Accuracy","58c376f9efb64f0001358464","X6",0,NA,"blue",0,35,1,1,257,"no training",5,2,2,1,1,2.05,3.5,4.85
"Accuracy","58c376f9efb64f0001358464","X7",1,23.046,"blue",0,35,1,1,257,"no training",5,2,2,1,1,2.05,3.5,4.85
"Accuracy","58c376f9efb64f0001358464","X8",0,NA,"blue",0,35,1,1,257,"no training",5,2,2,1,1,2.05,3.5,4.85
"Accuracy","58c376f9efb64f0001358464","X9",0,NA,"blue",0,35,1,1,257,"no training",5,2,2,1,1,2.05,3.5,4.85
"Accuracy","5e149635ac9e16ab48f85941","X8",1,7.366,"blue",0,23,1,1,477,"no training",5,2,2,1,1,2.05,3.5,4.85
"Accuracy","5e149635ac9e16ab48f85941","X9",1,9.683,"yellow",1,23,1,1,477,"no training",5,2,2,1,1,2.05,3.5,4.85
"Accuracy","5e794f94cd742b5121734d4c","X4",1,7.646,"blue",0,20,0,1,461,"no training",4,2,2,1,1,2.05,3.5,4.85
"Accuracy","5e794f94cd742b5121734d4c","X5",1,6.807,"blue",0,20,0,1,461,"no training",4,2,2,1,1,2.05,3.5,4.85
"Accuracy","5e794f94cd742b5121734d4c","X6",0,NA,"blue",0,20,0,1,461,"no training",4,2,2,1,1,2.05,3.5,4.85
"Accuracy","5e794f94cd742b5121734d4c","X7",1,10.911,"yellow",1,20,0,1,461,"no training",4,2,2,1,1,2.05,3.5,4.85
"Accuracy","5e794f94cd742b5121734d4c","X8",1,28.91,"blue",0,20,0,1,461,"no training",4,2,2,1,1,2.05,3.5,4.85
"Accuracy","5e794f94cd742b5121734d4c","X9",1,9.198,"yellow",1,20,0,1,461,"no training",4,2,2,1,1,2.05,3.5,4.85
"Accuracy","5e9baa3e02bbdc0b4c1796d9","X4",1,12.973,"yellow",1,20,1,1,909,"high-school level",2,2,2,1,1,2.05,3.5,4.85
"Accuracy","5e9baa3e02bbdc0b4c1796d9","X5",1,8.837,"yellow",1,20,1,1,909,"high-school level",2,2,2,1,1,2.05,3.5,4.85
"Accuracy","5e9baa3e02bbdc0b4c1796d9","X6",1,11.986,"blue",0,20,1,1,909,"high-school level",2,2,2,1,1,2.05,3.5,4.85
"Accuracy","5e9baa3e02bbdc0b4c1796d9","X7",1,17.856,"blue",0,20,1,1,909,"high-school level",2,2,2,1,1,2.05,3.5,4.85
"Accuracy","5e9baa3e02bbdc0b4c1796d9","X8",1,11.813,"yellow",1,20,1,1,909,"high-school level",2,2,2,1,1,2.05,3.5,4.85
"Accuracy","5e9baa3e02bbdc0b4c1796d9","X9",1,8.167,"blue",0,20,1,1,909,"high-school level",2,2,2,1,1,2.05,3.5,4.85
"Accuracy","5bf2b21f7c13eb0001fd6b49","X5",1,12.636,"blue",0,23,0,0,328,"university level",5,2,2,1,1,2.05,3.5,4.85
"Accuracy","5bf2b21f7c13eb0001fd6b49","X6",1,7.201,"yellow",1,23,0,0,328,"university level",5,2,2,1,1,2.05,3.5,4.85
"Accuracy","5bf2b21f7c13eb0001fd6b49","X7",1,9.542,"blue",0,23,0,0,328,"university level",5,2,2,1,1,2.05,3.5,4.85
"Accuracy","5bf2b21f7c13eb0001fd6b49","X8",1,5.971,"yellow",1,23,0,0,328,"university level",5,2,2,1,1,2.05,3.5,4.85
"Accuracy","5bf2b21f7c13eb0001fd6b49","X9",1,5.633,"yellow",1,23,0,0,328,"university level",5,2,2,1,1,2.05,3.5,4.85
"Accuracy","5e4a2f23f64db74915406236","X8",1,8.12,"blue",0,29,0,1,409,"university level",3,2,2,1,1,2.05,3.5,4.85
