"PROLIFIC_PID","Duration..in.seconds.","question","threshold","week","response","clarity","response_time","age","female","UK_citizen","condition"
"556dcc18fdf99b3ec7b62dc3",72,"5","twice","week 2",1,5,5.113,36,1,1,"Flat"
"556dcc18fdf99b3ec7b62dc3",72,"6","twice","week 2",0,5,5.093,36,1,1,"Flat"
"556dcc18fdf99b3ec7b62dc3",72,"7","twice","week 2",1,5,4.7,36,1,1,"Flat"
"556dcc18fdf99b3ec7b62dc3",72,"8","twice","week 2",0,5,4.01,36,1,1,"Flat"
"556dcc18fdf99b3ec7b62dc3",72,"4","twice","week 2",0,5,5.396,36,1,1,"Flat"
"556dcc18fdf99b3ec7b62dc3",72,"1","twice","week 2",0,5,4.77,36,1,1,"Flat"
"556dcc18fdf99b3ec7b62dc3",72,"2","twice","week 2",0,5,2.398,36,1,1,"Flat"
"556dcc18fdf99b3ec7b62dc3",72,"3","twice","week 2",0,5,6.638,36,1,1,"Flat"
"55b660dffdf99b1c029069a2",211,"1","twice","week 2",0,4,3.44,48,1,1,"Flat-PastRate"
"55b660dffdf99b1c029069a2",211,"5","twice","week 2",0,4,8.524,48,1,1,"Flat-PastRate"
"55b660dffdf99b1c029069a2",211,"2","twice","week 2",0,4,6.755,48,1,1,"Flat-PastRate"
"55b660dffdf99b1c029069a2",211,"3","twice","week 2",0,4,73.208,48,1,1,"Flat-PastRate"
"55b660dffdf99b1c029069a2",211,"4","twice","week 2",0,4,4.672,48,1,1,"Flat-PastRate"
"55b660dffdf99b1c029069a2",211,"6","twice","week 2",0,4,4.267,48,1,1,"Flat-PastRate"
"55b660dffdf99b1c029069a2",211,"7","twice","week 2",1,4,7.203,48,1,1,"Flat-PastRate"
"55b660dffdf99b1c029069a2",211,"8","twice","week 2",0,4,4.509,48,1,1,"Flat-PastRate"
"55b7c926fdf99b2d22072739",135,"2","twice","week 2",1,5,4.543,24,1,1,"Flat-PastRate"
"55b7c926fdf99b2d22072739",135,"6","twice","week 2",0,5,19.626,24,1,1,"Flat-PastRate"
"55b7c926fdf99b2d22072739",135,"3","twice","week 2",1,5,4.788,24,1,1,"Flat-PastRate"
"55b7c926fdf99b2d22072739",135,"4","twice","week 2",0,5,7.296,24,1,1,"Flat-PastRate"
"55b7c926fdf99b2d22072739",135,"5","twice","week 2",1,5,6.902,24,1,1,"Flat-PastRate"
"55b7c926fdf99b2d22072739",135,"1","twice","week 2",1,5,5.593,24,1,1,"Flat-PastRate"
"55b7c926fdf99b2d22072739",135,"7","twice","week 2",0,5,10.183,24,1,1,"Flat-PastRate"
"55b7c926fdf99b2d22072739",135,"8","twice","week 2",0,5,8.886,24,1,1,"Flat-PastRate"
"56978962eaa915000b8cbc00",331,"7","twice","week 1",0,5,10.231,31,0,1,"PPM"
"56978962eaa915000b8cbc00",331,"8","twice","week 1",0,5,4.139,31,0,1,"PPM"
"56978962eaa915000b8cbc00",331,"1","twice","week 1",0,5,3.606,31,0,1,"PPM"
