StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,quiz_peerincent_time_First Click,quiz_peerincent_time_Last Click,quiz_peerincent_time_Page Submit,quiz_peerincent_time_Click Count,quiz_peerincent,quiz_flat_time_First Click,quiz_flat_time_Last Click,quiz_flat_time_Page Submit,quiz_flat_time_Click Count,quiz_flat,quiz_accincent_time_First Click,quiz_accincent_time_Last Click,quiz_accincent_time_Page Submit,quiz_accincent_time_Click Count,quiz_accincent,1_task_time_First Click,1_task_time_Last Click,1_task_time_Page Submit,1_task_time_Click Count,1_task,1_zero_count_time_First Click,1_zero_count_time_Last Click,1_zero_count_time_Page Submit,1_zero_count_time_Click Count,1_zero_count,1_false_time_First Click,1_false_time_Last Click,1_false_time_Page Submit,1_false_time_Click Count,1_pred_time_First Click,1_pred_time_Last Click,1_pred_time_Page Submit,1_pred_time_Click Count,1_pred,2_task_time_First Click,2_task_time_Last Click,2_task_time_Page Submit,2_task_time_Click Count,2_task,2_zero_count_time_First Click,2_zero_count_time_Last Click,2_zero_count_time_Page Submit,2_zero_count_time_Click Count,2_zero_count,2_false_time_First Click,2_false_time_Last Click,2_false_time_Page Submit,2_false_time_Click Count,2_pred_time_First Click,2_pred_time_Last Click,2_pred_time_Page Submit,2_pred_time_Click Count,2_pred,3_task_time_First Click,3_task_time_Last Click,3_task_time_Page Submit,3_task_time_Click Count,3_task,3_zero_count_time_First Click,3_zero_count_time_Last Click,3_zero_count_time_Page Submit,3_zero_count_time_Click Count,3_zero_count,3_false_time_First Click,3_false_time_Last Click,3_false_time_Page Submit,3_false_time_Click Count,3_pred_time_First Click,3_pred_time_Last Click,3_pred_time_Page Submit,3_pred_time_Click Count,3_pred,4_task_time_First Click,4_task_time_Last Click,4_task_time_Page Submit,4_task_time_Click Count,4_task,4_zero_count_time_First Click,4_zero_count_time_Last Click,4_zero_count_time_Page Submit,4_zero_count_time_Click Count,4_zero_count,4_false_time_First Click,4_false_time_Last Click,4_false_time_Page Submit,4_false_time_Click Count,4_pred_time_First Click,4_pred_time_Last Click,4_pred_time_Page Submit,4_pred_time_Click Count,4_pred,5_task_time_First Click,5_task_time_Last Click,5_task_time_Page Submit,5_task_time_Click Count,5_task,5_zero_count_time_First Click,5_zero_count_time_Last Click,5_zero_count_time_Page Submit,5_zero_count_time_Click Count,5_zero_count,5_false_time_First Click,5_false_time_Last Click,5_false_time_Page Submit,5_false_time_Click Count,5_pred_time_First Click,5_pred_time_Last Click,5_pred_time_Page Submit,5_pred_time_Click Count,5_pred,6_task_time_First Click,6_task_time_Last Click,6_task_time_Page Submit,6_task_time_Click Count,6_task,6_zero_count_time_First Click,6_zero_count_time_Last Click,6_zero_count_time_Page Submit,6_zero_count_time_Click Count,6_zero_count,6_false_time_First Click,6_false_time_Last Click,6_false_time_Page Submit,6_false_time_Click Count,6_pred_time_First Click,6_pred_time_Last Click,6_pred_time_Page Submit,6_pred_time_Click Count,6_pred,7_task_time_First Click,7_task_time_Last Click,7_task_time_Page Submit,7_task_time_Click Count,7_task,7_zero_count_time_First Click,7_zero_count_time_Last Click,7_zero_count_time_Page Submit,7_zero_count_time_Click Count,7_zero_count,7_false_time_First Click,7_false_time_Last Click,7_false_time_Page Submit,7_false_time_Click Count,7_pred_time_First Click,7_pred_time_Last Click,7_pred_time_Page Submit,7_pred_time_Click Count,7_pred,8_task_time_First Click,8_task_time_Last Click,8_task_time_Page Submit,8_task_time_Click Count,8_task,8_zero_count_time_First Click,8_zero_count_time_Last Click,8_zero_count_time_Page Submit,8_zero_count_time_Click Count,8_zero_count,8_false_time_First Click,8_false_time_Last Click,8_false_time_Page Submit,8_false_time_Click Count,8_pred_time_First Click,8_pred_time_Last Click,8_pred_time_Page Submit,8_pred_time_Click Count,8_pred,9_task_time_First Click,9_task_time_Last Click,9_task_time_Page Submit,9_task_time_Click Count,9_task,9_zero_count_time_First Click,9_zero_count_time_Last Click,9_zero_count_time_Page Submit,9_zero_count_time_Click Count,9_zero_count,9_false_time_First Click,9_false_time_Last Click,9_false_time_Page Submit,9_false_time_Click Count,9_pred_time_First Click,9_pred_time_Last Click,9_pred_time_Page Submit,9_pred_time_Click Count,9_pred,10_task_time_First Click,10_task_time_Last Click,10_task_time_Page Submit,10_task_time_Click Count,10_task,10_zero_count_time_First Click,10_zero_count_time_Last Click,10_zero_count_time_Page Submit,10_zero_count_time_Click Count,10_zero_count,10_false_time_First Click,10_false_time_Last Click,10_false_time_Page Submit,10_false_time_Click Count,10_pred_time_First Click,10_pred_time_Last Click,10_pred_time_Page Submit,10_pred_time_Click Count,10_pred,QF.1,QF.2,QF.3,QF.3.2,QF.3.3,QF.4,QF.5,QF.6,RandNumbers,States,Responses,ProbNums,Permutation,TreatBlock,1_draw,2_draw,3_draw,4_draw,5_draw,6_draw,7_draw,8_draw,9_draw,10_draw,PROLIFIC_PID,exp_cond,instr_link
2020-05-13 16:54:28,2020-05-13 17:02:54,0,137.27.117.203,100,506,1,2020-05-13 17:02:54,R_2E5Z9W9yhmebNjv,,,,,45.549697876,-94.2245025635,anonymous,EN,8.212,9.181,10.129,2,2,,,,,,,,,,,3.648,11.9,14.618,3,1,5.502,5.502,8.201,1,9,,,,,1.31,3.617,7.239,4,1,0.976,1.939,2.516,2,1,7.792,7.792,9.502,1,15,,,,,0.75,1.031,2.468,2,4,10.018,11.267,11.887,2,1,2.728,2.728,4.101,1,8,,,,,0.51,1.108,2.018,2,4,3.458,8.657,9.813,4,1,5.249,5.249,7.377,1,11,,,,,2.164,2.583,3.399,2,4,1.96,4.481,5.546,3,1,5.134,5.134,7.239,1,10,,,,,1.363,4.264,6.525,3,4,7.762,16.294,17.67,6,1,6.404,6.404,10.169,1,14,,,,,1.762,3.392,5.708,2,1,1.448,4.295,6.149,3,1,8.101,8.101,10.603,1,13,,,,,2.128,5.092,6.185,2,1,11.335,12.691,13.416,2,1,4.514,4.514,6.601,1,12,,,,,0.936,2.522,3.399,3,4,2.955,5.486,6.23,2,1,5.223,5.223,8.001,1,10,,,,,1.638,5.52,6.277,3,4,1.27,1.956,5.575,2,1,7.173,7.173,9.393,1,16,,,,,1.475,3.625,4.772,4,1,2,2,6,3,3,2,2,,,,,,,,1,2,2,2,1,1,1,2,1,1,5ea5cf7a485d2e5c73bf2503,peerincent,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_3aE86OsIhvvy8iF
2020-05-13 17:06:29,2020-05-13 17:13:29,0,69.119.37.28,100,420,1,2020-05-13 17:13:29,R_cT8g73SC7F05T0t,,,,,40.8477020264,-73.841796875,anonymous,EN,,,,,,,,,,,7.23,7.23,8.301,1,2,1.227,1.227,2.158,1,1,1.346,1.346,6.852,1,9,,,,,0.57,0.57,1.267,1,4,2.433,2.433,3.886,1,1,1.191,6.367,8.488,2,15,,,,,0.498,0.498,1.578,1,4,21.071,21.071,21.978,1,1,1.085,1.085,8.576,1,8,,,,,0.37,0.37,1.39,1,1,2.826,2.826,5.602,1,1,1.298,1.298,8.664,1,11,,,,,0.821,0.821,2.453,1,1,4.283,4.283,5.396,1,1,1.27,1.27,6.061,1,10,,,,,0.398,0.398,1.473,1,1,1.332,1.332,2.295,1,1,5.149,5.149,6.033,1,14,,,,,0.317,0.317,1.147,1,1,1.379,1.379,2.195,1,1,1.453,7.901,11.364,3,13,,,,,0.266,0.266,1.341,1,1,1.138,1.138,1.854,1,1,1.343,6.031,6.351,2,12,,,,,0.398,0.398,1.153,1,1,1.661,1.661,2.575,1,1,1.135,1.135,32.38,1,10,,,,,0.508,0.508,1.548,1,1,1.201,1.201,1.981,1,1,0.866,7.922,14.753,2,16,,,,,0.428,0.428,1.302,1,4,2,1,6,2,4,1,2,,,,,,,,2,2,1,1,1,1,1,1,1,2,5d9a09095223b6001809f1c9,accincent,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_9H1vHCYST5EXW97
2020-05-13 17:12:06,2020-05-13 17:18:22,0,98.226.163.115,100,376,1,2020-05-13 17:18:23,R_vPqWGchMM0tNoEp,,,,,40.7720031738,-89.6572036743,anonymous,EN,,,,,,5.144,5.144,6.203,1,1,,,,,,0.928,0.928,1.792,1,1,5.228,6.98,7.421,4,9,,,,,0.801,0.801,1.536,1,4,1.004,1.004,2.144,1,1,13.591,14.6,15.592,2,15,,,,,0.843,0.843,1.759,1,4,2.6,2.6,3.721,1,1,5.893,7.245,7.763,8,8,,,,,3.47,3.47,4.225,1,1,0.954,0.954,1.845,1,1,6.148,6.704,11.229,4,11,,,,,1.303,1.303,2.055,1,4,4.337,4.337,8.211,1,1,4.222,9.692,14.303,10,10,,,,,1.442,1.442,2.488,1,4,1.447,1.447,2.326,1,1,9.534,13.401,14.087,8,14,,,,,1.246,1.246,2.425,1,1,1.439,1.439,5.697,1,1,8.77,9.759,10.411,3,13,,,,,2.666,2.666,3.354,1,1,1.885,1.885,2.888,1,1,11.88,12.687,13.172,3,12,,,,,3.875,3.875,4.89,1,1,2.121,2.121,3.326,1,1,5.63,7.491,7.731,4,10,,,,,1.778,1.778,2.418,1,1,2.512,2.512,3.288,1,1,18.971,20.483,20.852,6,16,,,,,5.677,11.593,13.301,3,4,2,1,6,2,4,1,1,,,,,,,,2,2,1,2,2,1,1,2,1,1,5cfbcc1fa7f8940019cd8704,flat,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_cMw8OQTkSAPGt2l
2020-05-13 17:13:41,2020-05-13 17:23:17,0,173.175.210.76,100,576,1,2020-05-13 17:23:17,R_1E3UjSVVM2bqT8K,,,,,32.753692627,-96.8367004395,anonymous,EN,,,,,,6.852,6.852,9.239,1,1,,,,,,2.082,37.633,38.235,4,1,1.748,4.767,6.991,2,9,,,,,1.909,32.283,59.855,5,1,1.479,2.009,3.48,2,1,5.428,13.135,19.629,3,15,,,,,1.006,1.006,1.807,1,4,0.959,4.041,4.644,3,1,3.646,3.646,4.948,1,8,,,,,2.379,2.379,3.376,1,1,0.741,6.206,7.19,3,1,4.123,4.123,5.999,1,11,,,,,1.688,2.066,2.97,2,1,1.386,16.199,17.119,3,1,5.554,5.554,7.362,1,10,,,,,3.556,3.556,5.333,1,1,1.892,6.322,6.85,3,1,5.378,5.378,7.222,1,14,,,,,0.617,0.617,1.537,1,4,1.257,2.365,3.296,2,1,7.129,7.129,8.786,1,13,,,,,0.615,0.615,1.915,1,4,1.079,1.566,2.671,2,1,5.95,5.95,7.415,1,12,,,,,0.588,0.588,1.339,1,4,1.12,2.628,3.187,3,1,3.977,3.977,8.766,1,10,,,,,1.292,8.358,9.057,3,1,1.472,2.572,3.515,2,1,7.604,7.604,9.629,1,16,,,,,0.583,0.583,3.436,1,4,3,2,7,3,5,3,1,"I appreciated that I could check the instructions, but I was unclear on whether if the random pick selected blue then that meant it was more likely that the actual box was blue or guaranteed to be blue (right side). Thank you.",,,,,,,1,2,1,1,1,2,2,2,1,2,5ea08738ba7e69065a69c3f8,flat,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_cMw8OQTkSAPGt2l
2020-05-13 17:19:40,2020-05-13 17:32:31,0,73.159.77.172,100,771,1,2020-05-13 17:32:32,R_21oy8odpJhJFyX7,,,,,41.6889038086,-69.9721984863,anonymous,EN,9.69,9.69,10.541,1,3,,,,,,,,,,,5.084,7.174,8.198,3,1,7.712,13.017,13.084,4,9,,,,,0.572,0.572,2.09,1,4,1.638,12.001,14.103,6,1,9.018,18.839,18.801,6,15,,,,,35.5,55.677,56.734,2,1,5.51,6.268,7.67,2,1,5.59,11.865,12.363,5,8,,,,,2.424,2.424,3.521,1,1,1.682,2.91,4.234,2,1,7.98,25.18,25.656,5,11,,,,,0.361,0.361,1.066,1,4,2.157,3.1,3.732,2,1,4.43,18.321,18.902,6,10,,,,,1.431,1.431,9.512,1,1,2.766,5.014,7.626,3,1,11.004,11.004,13.898,1,14,,,,,6.69,11.872,12.673,2,4,2.585,3.495,4.314,2,1,9.073,11.701,12.902,3,13,,,,,1.187,1.187,2.034,1,1,4.736,33.525,34.755,5,1,7.376,24.064,24.878,8,12,,,,,1.155,1.155,2.153,1,4,2.408,3.65,5.875,3,1,6.902,6.902,9.1,1,10,,,,,0.327,1.09,1.127,2,1,2.715,32.793,34.687,7,1,8.643,21.55,22.69,3,16,,,,,3.307,3.307,4.31,1,4,2,1,6,3,2,2,3,,,,,,,,2,1,1,2,1,2,1,2,1,2,5eae55b5ea7260520315f02b,peerincent,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_3aE86OsIhvvy8iF
2020-05-13 17:20:46,2020-05-13 17:28:25,0,73.108.183.225,100,458,1,2020-05-13 17:28:25,R_3LZ7NtryHiqCRW0,,,,,33.4723968506,-82.0888977051,anonymous,EN,,,,,,8.672,8.672,11.465,1,1,,,,,,1.386,1.386,2.709,1,1,5.393,5.393,6.965,1,9,,,,,6.45,6.45,8.485,1,1,2.459,2.459,4.071,1,1,7.343,7.343,9.66,1,15,,,,,0.507,0.507,5.315,1,1,2.017,2.017,2.794,1,1,4.158,4.567,6.145,2,8,,,,,0.455,0.455,1.191,1,4,11.313,11.313,12.712,1,1,11.518,11.518,13.49,1,11,,,,,6.422,19.436,20.545,2,1,2.382,2.382,4.399,1,1,6.572,6.572,9.121,1,10,,,,,1.002,1.002,2.054,1,1,4.964,4.964,5.859,1,1,7.036,7.036,9.342,1,14,,,,,0.311,0.311,1.104,1,1,4.011,4.011,5.51,1,1,6.767,6.767,9.118,1,13,,,,,0.319,0.319,1.127,1,1,1.404,1.404,2.271,1,1,5.496,7.285,7.802,2,12,,,,,0.773,0.773,1.641,1,1,1.393,1.393,2.449,1,1,9.433,9.811,12.471,2,10,,,,,0.378,0.378,1.355,1,4,3.234,3.81,4.389,2,1,7.979,7.979,10.121,1,16,,,,,0.342,0.342,1.6,1,1,3,1,8,2,5,3,1,,,,,,,,1,1,2,1,1,1,1,1,2,1,5c17294778ee390001ab19e5,flat,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_cMw8OQTkSAPGt2l
2020-05-13 17:20:58,2020-05-13 17:30:31,0,71.136.190.254,100,572,1,2020-05-13 17:30:31,R_3PuIQi6RPo7GglP,,,,,33.1493988037,-96.8280029297,anonymous,EN,,,,,,,,,,,9.818,9.818,11.064,1,2,16.869,16.869,21.227,1,1,4.28,4.28,6.602,1,9,,,,,3.909,3.909,4.9,1,4,9.098,9.098,10.599,1,1,5.403,5.403,7.693,1,15,,,,,5.085,5.085,5.953,1,1,3.637,3.637,6.724,1,1,3.009,3.009,4.952,1,8,,,,,6.97,6.97,8.727,1,1,7.704,7.704,9.634,1,1,5.633,5.633,8.137,1,11,,,,,2.566,2.566,3.257,1,4,7.701,7.701,12.762,1,1,6.402,6.402,11.07,1,10,,,,,6.107,6.107,7.678,1,1,4.172,4.172,5.737,1,1,5.724,5.724,10.596,1,14,,,,,1.084,1.084,2.465,1,4,11.901,11.901,14.205,1,1,6.516,6.516,10.682,1,13,,,,,6.041,6.041,7.099,1,1,6.404,6.404,8.004,1,1,5.668,5.668,8.341,1,12,,,,,13.559,13.559,14.66,1,4,7.727,7.727,9.439,1,1,3.865,3.865,6.463,1,10,,,,,4.342,4.342,6.376,1,1,2.124,2.124,4.28,1,1,8.512,8.512,10.994,1,16,,,,,47.771,47.771,51.157,1,4,2,2,6,3,4,1,2,,,,,,,,2,2,2,2,1,2,1,2,1,1,5ce649e53e496100197ae3db,accincent,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_9H1vHCYST5EXW97
2020-05-13 17:21:13,2020-05-13 17:29:20,0,24.211.53.197,100,487,1,2020-05-13 17:29:21,R_33yfPYA0JBz3lM3,,,,,34.0650939941,-81.0280990601,anonymous,EN,,,,,,,,,,,11.394,11.394,12.408,1,2,7.124,7.124,9.249,1,1,2.976,2.976,5.165,1,9,,,,,1.158,1.158,2.1,1,1,12.771,12.771,14.715,1,1,7.431,7.431,9.823,1,15,,,,,1.556,1.556,2.527,1,4,3.1,3.1,4.113,1,2,,,,,,,,,,2.149,4.768,5.952,3,1,7.036,7.036,9.063,1,1,5.777,5.777,8.344,1,11,,,,,1.28,1.28,2.101,1,4,4.548,5.38,6.01,2,1,3.982,3.982,6.799,1,10,,,,,0.476,0.476,1.326,1,4,11.9,11.9,14.421,1,1,9.952,9.952,12.082,1,14,,,,,9.238,9.238,10.059,1,1,4.814,4.814,5.792,1,1,6.259,6.259,8.971,1,13,,,,,5.344,5.344,6.219,1,1,5.236,5.236,7.184,1,1,3.482,16.247,19.319,2,12,,,,,9.614,9.614,10.616,1,1,1.977,1.977,3.188,1,1,3.78,3.78,7.094,1,10,,,,,0.479,0.479,1.6,1,1,3.286,6.059,9.212,2,1,7.343,17.889,21.653,2,16,,,,,1.145,1.145,2.397,1,1,2,2,6,1,1,3,2,,,,,,,,1,2,2,1,2,1,1,1,1,1,5ddaa1e583e309a04100bd57,accincent,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_9H1vHCYST5EXW97
2020-05-13 17:21:29,2020-05-13 17:31:13,0,96.33.29.151,100,584,1,2020-05-13 17:31:13,R_3KUzK2rSb5HaMhD,,,,,36.3339996338,-82.3439025879,anonymous,EN,7.077,7.077,8.624,1,3,,,,,,,,,,,3.13,3.13,6.364,1,1,4.985,4.985,7.13,1,9,,,,,1.783,1.783,3.235,1,4,2.886,2.886,4.325,1,1,5.562,5.562,8.158,1,15,,,,,1.113,1.113,2.559,1,1,3.003,3.003,4.413,1,1,1.401,1.401,7.458,1,8,,,,,1.122,1.122,2.702,1,4,1.8,13.227,13.915,5,1,6.592,6.592,9.738,1,11,,,,,1.44,1.44,2.711,1,4,3.086,3.086,4.502,1,1,2.409,2.409,7.711,1,10,,,,,0.913,0.913,3.098,1,1,2.795,2.795,4.181,1,1,5.276,5.276,7.731,1,14,,,,,0.902,0.902,2.522,1,1,99.997,100.533,102.034,2,1,8.68,8.68,13.296,1,13,,,,,4.79,4.79,6.381,1,1,2.608,2.608,4.01,1,1,7.422,7.422,17.901,1,12,,,,,1.279,1.279,2.746,1,1,7.23,10.403,11.145,3,1,1.628,1.628,18.652,1,10,,,,,5.012,20.131,21.049,2,1,2.297,2.297,3.866,1,1,4.936,4.936,17.624,1,16,,,,,0.876,0.876,3.029,1,4,4,2,8,1,1,2,3,,,,,,,,2,1,2,2,1,1,1,1,1,2,5eb0745480b12a11c526ffc8,peerincent,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_3aE86OsIhvvy8iF
2020-05-13 17:21:59,2020-05-13 17:31:07,0,5.54.45.115,100,548,1,2020-05-13 17:31:08,R_30wxjIwf11W3d1S,,,,,37.9842071533,23.7353057861,anonymous,EN,,,,,,,,,,,15.379,45.309,49.055,5,2,0.416,1.01,1.298,2,2,,,,,,,,,,0,0,0.514,0,4,7.188,112.276,113.56,2,2,,,,,,,,,,0,0,0.261,0,1,0.334,0.334,2.359,1,2,,,,,,,,,,0,0,2.279,0,4,1.833,1.833,2.912,1,2,,,,,,,,,,0,0,0.552,0,4,7.794,7.794,9.538,1,2,,,,,,,,,,0,0,0.703,0,1,0.37,0.37,2.556,1,2,,,,,,,,,,0,0,0.253,0,4,0.454,0.454,1.177,1,2,,,,,,,,,,0.239,0.829,1.405,2,4,0.458,0.458,1.365,1,2,,,,,,,,,,0,0,0.669,0,1,0.306,0.306,0.959,1,2,,,,,,,,,,0.089,0.089,0.308,1,1,5.244,5.244,14.705,1,2,,,,,,,,,,1.477,1.477,2.047,1,4,2,1,8,3,4,4,2,,,,,,,,2,1,2,1,1,2,1,1,1,1,5eb94f115b6de201bac4a76d,accincent,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_9H1vHCYST5EXW97
