session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
5f8d59add14a8802f8cfc1dd,5a47abdb6d85f80001c25655,AWAITING REVIEW,2020-10-19 09:17:35.629000,2020-10-19 09:19:19.464000,103.835,22,112,1,100,,366C5978,United Kingdom,United Kingdom,Other,English,English,United Kingdom,Female,Yes
5f8d59cf00ad5502a4d5cbae,5ba0df3c9c31af0001ff7795,AWAITING REVIEW,2020-10-19 09:19:10.908000,2020-10-19 09:26:59.771000,468.863,27,331,3,99,,366C5978,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Female,Yes
5f8d5a270685ae02a8b2a099,5d002470f4534000181d5e09,AWAITING REVIEW,2020-10-19 09:19:35.283000,2020-10-19 09:21:45.858000,130.575,20,170,5,96,,366C5978,United Kingdom,United Kingdom,Unemployed (and job seeking),English,English,United Kingdom,Male,Yes
5f8d5a5f46692702fae86f75,5f30c0e271440752dbba8de5,AWAITING REVIEW,2020-10-19 09:20:43.898000,2020-10-19 09:23:44.991000,181.093,19,26,2,96,,366C5978,India,United Kingdom,Unemployed (and job seeking),DATA EXPIRED,"English, Tamil",United Kingdom,Male,Yes
5f8d5b194370cf02a31fb214,5ede60bc682c590ba7a95725,AWAITING REVIEW,2020-10-19 09:23:46.481000,2020-10-19 09:26:08.619000,142.138,22,78,1,100,,366C5978,United Kingdom,United Kingdom,Due to start a new job within the next month,English,English,United Kingdom,Female,Yes
5f8d5b442b70b502addc3a7c,5e9a162fc140d109fe1a4618,AWAITING REVIEW,2020-10-19 09:24:22.752000,2020-10-19 09:26:07.254000,104.502,23,139,2,100,,366C5978,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Male,Yes
5f8d5b800674cb02fa252428,5b5bbbe34e945800017d74a5,AWAITING REVIEW,2020-10-19 09:25:20.119000,2020-10-19 09:29:16.789000,236.67,20,133,0,100,,366C5978,United Kingdom,United Kingdom,Part-Time,English,"Spanish, French, English, Hindi",United Kingdom,Female,Yes
5f8d5bcc7ecb0102acb1aa5d,5cbe1e098f939c0015c0b9d8,AWAITING REVIEW,2020-10-19 09:26:40.437000,2020-10-19 09:28:30.533000,110.096,33,226,0,100,,366C5978,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United Kingdom,Male,Yes
5f8d5bdd9c076302f945ad4d,5ea1a229465d80069655f154,AWAITING REVIEW,2020-10-19 09:26:56.273000,2020-10-19 09:30:45.757000,229.484,28,14,0,100,,366C5978,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United Kingdom,Female,Yes
5f8d5c1756a942034e30362a,5d5092a4f19f050001aa026a,AWAITING REVIEW,2020-10-19 09:27:53.179000,2020-10-19 09:30:57.908000,184.729,22,122,0,100,,366C5978,United Kingdom,United Kingdom,Part-Time,English,"Scots, Spanish, English",United Kingdom,Female,Yes
