StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,q_instr1_1,q_instr1_2,q_instr1_3,q_instr1_4,q_instr1_5,1_q_plain_1,1_q_plain_2,1_q_plain_3,1_q_plain_4,1_q_plain_5,2_q_plain_1,2_q_plain_2,2_q_plain_3,2_q_plain_4,2_q_plain_5,3_q_plain_1,3_q_plain_2,3_q_plain_3,3_q_plain_4,3_q_plain_5,4_q_plain_1,4_q_plain_2,4_q_plain_3,4_q_plain_4,4_q_plain_5,5_q_plain_1,5_q_plain_2,5_q_plain_3,5_q_plain_4,5_q_plain_5,6_q_plain_1,6_q_plain_2,6_q_plain_3,6_q_plain_4,6_q_plain_5,7_q_plain_1,7_q_plain_2,7_q_plain_3,7_q_plain_4,7_q_plain_5,8_q_plain_1,8_q_plain_2,8_q_plain_3,8_q_plain_4,8_q_plain_5,9_q_plain_1,9_q_plain_2,9_q_plain_3,9_q_plain_4,9_q_plain_5,age,gender,educ,clarity,comment,RandNumbers,States,Responses,ProbNums,Permutation,TreatBlock,PROLIFIC_PID,exp_cond,instr_link
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"In the last 7 days, I may have stood less than 2 metres away from the person in front in a queue - once or more","In the last 7 days, I may have stood less than 2 metres away from the person in front in a queue - twice or more","In the last 7 days, I may have stood less than 2 metres away from the person in front in a queue - 3 times or more","In the last 7 days, I may have stood less than 2 metres away from the person in front in a queue - 4 times or more","In the last 7 days, I may have stood less than 2 metres away from the person in front in a queue - 5 times or more","In the last 7 days, [Field-2] - 1 - [Field-3]","In the last 7 days, [Field-2] - 1 - [Field-5]","In the last 7 days, [Field-2] - 1 - [Field-7]","In the last 7 days, [Field-2] - 1 - [Field-9]","In the last 7 days, [Field-2] - 1 - [Field-11]","In the last 7 days, [Field-2] - 2 - [Field-3]","In the last 7 days, [Field-2] - 2 - [Field-5]","In the last 7 days, [Field-2] - 2 - [Field-7]","In the last 7 days, [Field-2] - 2 - [Field-9]","In the last 7 days, [Field-2] - 2 - [Field-11]","In the last 7 days, [Field-2] - 3 - [Field-3]","In the last 7 days, [Field-2] - 3 - [Field-5]","In the last 7 days, [Field-2] - 3 - [Field-7]","In the last 7 days, [Field-2] - 3 - [Field-9]","In the last 7 days, [Field-2] - 3 - [Field-11]","In the last 7 days, [Field-2] - 4 - [Field-3]","In the last 7 days, [Field-2] - 4 - [Field-5]","In the last 7 days, [Field-2] - 4 - [Field-7]","In the last 7 days, [Field-2] - 4 - [Field-9]","In the last 7 days, [Field-2] - 4 - [Field-11]","In the last 7 days, [Field-2] - 5 - [Field-3]","In the last 7 days, [Field-2] - 5 - [Field-5]","In the last 7 days, [Field-2] - 5 - [Field-7]","In the last 7 days, [Field-2] - 5 - [Field-9]","In the last 7 days, [Field-2] - 5 - [Field-11]","In the last 7 days, [Field-2] - 6 - [Field-3]","In the last 7 days, [Field-2] - 6 - [Field-5]","In the last 7 days, [Field-2] - 6 - [Field-7]","In the last 7 days, [Field-2] - 6 - [Field-9]","In the last 7 days, [Field-2] - 6 - [Field-11]","In the last 7 days, [Field-2] - 7 - [Field-3]","In the last 7 days, [Field-2] - 7 - [Field-5]","In the last 7 days, [Field-2] - 7 - [Field-7]","In the last 7 days, [Field-2] - 7 - [Field-9]","In the last 7 days, [Field-2] - 7 - [Field-11]","In the last 7 days, [Field-2] - 8 - [Field-3]","In the last 7 days, [Field-2] - 8 - [Field-5]","In the last 7 days, [Field-2] - 8 - [Field-7]","In the last 7 days, [Field-2] - 8 - [Field-9]","In the last 7 days, [Field-2] - 8 - [Field-11]","In the last 7 days, [Field-2] - 9 - [Field-3]","In the last 7 days, [Field-2] - 9 - [Field-5]","In the last 7 days, [Field-2] - 9 - [Field-7]","In the last 7 days, [Field-2] - 9 - [Field-9]","In the last 7 days, [Field-2] - 9 - [Field-11]","Thank you for your answers!   




 To conclude, we would like you to answer a few questions about your background and your experience in this survey. 




 How old are you?",What is your gender?,What is your education level?,How clear were the instructions in this survey?,Do you have any other comments or suggestions?,RandNumbers,States,Responses,ProbNums,Permutation,TreatBlock,PROLIFIC_PID,exp_cond,instr_link
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID440_1""}","{""ImportId"":""QID440_2""}","{""ImportId"":""QID440_3""}","{""ImportId"":""QID440_4""}","{""ImportId"":""QID440_5""}","{""ImportId"":""1_QID462_1""}","{""ImportId"":""1_QID462_2""}","{""ImportId"":""1_QID462_3""}","{""ImportId"":""1_QID462_4""}","{""ImportId"":""1_QID462_5""}","{""ImportId"":""2_QID462_1""}","{""ImportId"":""2_QID462_2""}","{""ImportId"":""2_QID462_3""}","{""ImportId"":""2_QID462_4""}","{""ImportId"":""2_QID462_5""}","{""ImportId"":""3_QID462_1""}","{""ImportId"":""3_QID462_2""}","{""ImportId"":""3_QID462_3""}","{""ImportId"":""3_QID462_4""}","{""ImportId"":""3_QID462_5""}","{""ImportId"":""4_QID462_1""}","{""ImportId"":""4_QID462_2""}","{""ImportId"":""4_QID462_3""}","{""ImportId"":""4_QID462_4""}","{""ImportId"":""4_QID462_5""}","{""ImportId"":""5_QID462_1""}","{""ImportId"":""5_QID462_2""}","{""ImportId"":""5_QID462_3""}","{""ImportId"":""5_QID462_4""}","{""ImportId"":""5_QID462_5""}","{""ImportId"":""6_QID462_1""}","{""ImportId"":""6_QID462_2""}","{""ImportId"":""6_QID462_3""}","{""ImportId"":""6_QID462_4""}","{""ImportId"":""6_QID462_5""}","{""ImportId"":""7_QID462_1""}","{""ImportId"":""7_QID462_2""}","{""ImportId"":""7_QID462_3""}","{""ImportId"":""7_QID462_4""}","{""ImportId"":""7_QID462_5""}","{""ImportId"":""8_QID462_1""}","{""ImportId"":""8_QID462_2""}","{""ImportId"":""8_QID462_3""}","{""ImportId"":""8_QID462_4""}","{""ImportId"":""8_QID462_5""}","{""ImportId"":""9_QID462_1""}","{""ImportId"":""9_QID462_2""}","{""ImportId"":""9_QID462_3""}","{""ImportId"":""9_QID462_4""}","{""ImportId"":""9_QID462_5""}","{""ImportId"":""QID134""}","{""ImportId"":""QID135""}","{""ImportId"":""QID136""}","{""ImportId"":""QID139""}","{""ImportId"":""QID140_TEXT""}","{""ImportId"":""RandNumbers""}","{""ImportId"":""States""}","{""ImportId"":""Responses""}","{""ImportId"":""ProbNums""}","{""ImportId"":""Permutation""}","{""ImportId"":""TreatBlock""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""exp_cond""}","{""ImportId"":""instr_link""}"
2020-10-19 11:17:40,2020-10-19 11:19:17,0,86.186.49.181,100,97,1,2020-10-19 11:19:18,R_WDt7djkSRU2VOxj,,,,,51.2790069580078125,1.0762939453125,anonymous,EN,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,5,1,,,,,,,,5a47abdb6d85f80001c25655,control1,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_bg7dnIbSgm1ACln
2020-10-19 11:19:37,2020-10-19 11:21:44,0,86.162.113.64,100,127,1,2020-10-19 11:21:44,R_2AG1ceCbgPLACSn,,,,,53.1757965087890625,-0.5514984130859375,anonymous,EN,1,1,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,4,2,No,,,,,,,5d002470f4534000181d5e09,control1,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_bg7dnIbSgm1ACln
2020-10-19 11:20:46,2020-10-19 11:23:42,0,217.137.42.48,100,176,1,2020-10-19 11:23:43,R_3g5As08bmgevxLT,,,,,51.49639892578125,-0.122406005859375,anonymous,EN,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,,,,,,,,5f30c0e271440752dbba8de5,control1,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_bg7dnIbSgm1ACln
2020-10-19 11:24:24,2020-10-19 11:26:05,0,90.217.253.53,100,101,1,2020-10-19 11:26:05,R_z2r4br0Uc3Xr4kh,,,,,53.3614959716796875,-1.5070037841796875,anonymous,EN,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,4,1,,,,,,,,5e9a162fc140d109fe1a4618,control1,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_bg7dnIbSgm1ACln
2020-10-19 11:23:48,2020-10-19 11:26:06,0,86.142.73.237,100,138,1,2020-10-19 11:26:06,R_3CTJqxFhFIOpr3e,,,,,53.0919036865234375,-2.384796142578125,anonymous,EN,1,1,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,4,1,,,,,,,,5ede60bc682c590ba7a95725,control1,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_bg7dnIbSgm1ACln
2020-10-19 11:19:13,2020-10-19 11:26:58,0,82.9.237.39,100,464,1,2020-10-19 11:26:58,R_3E9UQGgVVeFIsF4,,,,,51.4799957275390625,-3.17999267578125,anonymous,EN,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,5,1,,,,,,,,5ba0df3c9c31af0001ff7795,control1,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_bg7dnIbSgm1ACln
2020-10-19 11:26:41,2020-10-19 11:28:28,0,86.30.240.199,100,107,1,2020-10-19 11:28:29,R_bNRVnEdQUtAFqUx,,,,,53.3932952880859375,-2.13360595703125,anonymous,EN,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,5,1,4,1,,,,,,,,5cbe1e098f939c0015c0b9d8,control1,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_bg7dnIbSgm1ACln
2020-10-19 11:25:22,2020-10-19 11:29:13,0,82.46.218.184,100,230,1,2020-10-19 11:29:13,R_p9uA4gn1fjzshkB,,,,,51.653900146484375,-0.08880615234375,anonymous,EN,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,5b5bbbe34e945800017d74a5,control1,https://erasmusuniversity.eu.qualtrics.com/jfe/form/SV_bg7dnIbSgm1ACln
