session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
5ebc0a0e19cd2404319c87c3,5ea5cf7a485d2e5c73bf2503,APPROVED,2020-05-13 14:54:08.006000,2020-05-13 15:03:01.016000,533.01,20,6,0,100,2020-05-17 00:56:34.323000,74334259,United States,United States,Part-Time,English,English,United States,Female,Yes
5ebc0cf06919180554b67adb,5d9a09095223b6001809f1c9,APPROVED,2020-05-13 15:06:27.069000,2020-05-13 15:13:32.327000,425.258,20,240,2,99,2020-05-17 00:56:35.378000,74334259,United States,United States,Other,English,English,United States,Male,Yes
5ebc0e3f8650cf0009e86bf1,5cfbcc1fa7f8940019cd8704,APPROVED,2020-05-13 15:12:05.256000,2020-05-13 15:18:25.885000,380.629,19,74,0,100,2020-05-17 00:56:36.528000,74334259,United States,United States,Part-Time,English,English,United States,Male,Yes
5ebc0e8fea22c8000a6d2072,5ea08738ba7e69065a69c3f8,APPROVED,2020-05-13 15:13:38.025000,2020-05-13 15:23:19.430000,581.405,26,64,0,100,2020-05-17 00:56:37.524000,74334259,United States,United States,Full-Time,English,English,United States,Female,Yes
5ebc100826ce6a00084ca340,5eae55b5ea7260520315f02b,APPROVED,2020-05-13 15:19:38.079000,2020-05-13 15:32:33.884000,775.805,19,15,0,100,2020-05-17 00:56:38.714000,74334259,United States,United States,Unemployed (and job seeking),English,"Russian, English",United States,Male,Yes
5ebc102d2a7946000d5c96be,5c17294778ee390001ab19e5,APPROVED,2020-05-13 15:20:45.128000,2020-05-13 15:28:27.849000,462.721,23,195,1,100,2020-05-17 00:56:39.701000,74334259,United States,United States,Other,English,English,United States,Male,Yes
5ebc1053790e95000c0f526c,5ce649e53e496100197ae3db,APPROVED,2020-05-13 15:20:56.768000,2020-05-13 15:30:42.203000,585.435,19,99,2,98,2020-05-17 00:56:40.685000,74334259,United States,United States,Other,Vietnamese,English,United States,Female,Yes
5ebc106286427e0009db3015,5ddaa1e583e309a04100bd57,APPROVED,2020-05-13 15:21:11.017000,2020-05-13 15:29:24.161000,493.144,20,57,1,99,2020-05-17 00:56:41.796000,74334259,United States,United States,Unemployed (and job seeking),English,English,United States,Female,Yes
5ebc106886ebff000b211024,5eb0745480b12a11c526ffc8,APPROVED,2020-05-13 15:21:24.183000,2020-05-13 15:31:19.757000,595.574,29,25,1,96,2020-05-17 00:56:42.764000,74334259,United States,United States,Full-Time,English,English,United States,Female,Yes
5ebc109512a15200095dcee6,5eb94f115b6de201bac4a76d,APPROVED,2020-05-13 15:21:57.322000,2020-05-13 15:31:10.309000,552.987,,16,1,96,2020-05-17 00:56:43.981000,74334259,Greece,Greece,Unemployed (and job seeking),Greek,"Greek, French, English",United States,Male,Yes
5ebc11705a34ae000996e1dc,5ba85df9c38467000173d11a,APPROVED,2020-05-13 15:25:39.403000,2020-05-13 15:31:59.911000,380.508,21,169,1,100,2020-05-17 00:56:44.979000,74334259,United States,United States,Part-Time,English,English,United States,Male,Yes
5ebc11b3b02dcb000941180c,5ea7c40f80fdc01ad1d14ddf,APPROVED,2020-05-13 15:26:50.585000,2020-05-13 15:33:51.656000,421.071,21,15,0,100,2020-05-17 00:56:46.075000,74334259,United States,United States,Unemployed (and job seeking),English,English,United States,Female,Yes
5ebc120626ce6a00084ca34b,5e7913d548988f0c5bd98567,APPROVED,2020-05-13 15:28:48.313000,2020-05-13 15:34:10.905000,322.592,18,58,0,100,2020-05-17 00:56:47.431000,74334259,United States,United States,Unemployed (and job seeking),English,English,United States,Male,Yes
5ebc121871319a00097269a8,5d9e9a41890596001b6e68e6,APPROVED,2020-05-13 15:28:24.507000,2020-05-13 15:37:46.963000,562.456,27,257,0,100,2020-05-17 00:56:48.385000,74334259,United States,United States,Full-Time,English,English,United States,Female,Yes
5ebc1293ca59b00009289ae1,5e98752d6bebcf0852590d7b,APPROVED,2020-05-13 15:30:48.340000,2020-05-13 15:37:28.134000,399.794,19,66,0,100,2020-05-17 00:56:49.383000,74334259,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",Spanish,"English, Spanish",United States,Female,Yes
5ebc12ad2114a9000a4074b6,5e3b0059e8f21231ec2f26d3,APPROVED,2020-05-13 15:30:54.971000,2020-05-13 15:36:26.020000,331.049,21,138,0,100,2020-05-17 00:56:50.350000,74334259,United States,United States,Due to start a new job within the next month,English,English,United States,Female,Yes
5ebc12b64ae5db000beb324f,5b7f280ef366a80001263ec3,APPROVED,2020-05-13 15:31:43.496000,2020-05-13 15:38:03.048000,379.552,21,207,2,100,2020-05-17 00:56:51.460000,74334259,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United States,Female,Yes
