"task_type","item","subject","prob","metaprob","binary_outcome"
"Science","gr1","1",0.5,0.6,1
"Science","gr1","2",0.94,0.88,1
"Science","gr1","3",0.1,0.16,1
"Science","gr1","4",0.88,0.94,1
"Science","gr1","5",0.7,0.8,1
"Science","gr1","6",1,0.75,1
"Science","gr1","7",0.5,0.65,1
"Science","gr1","8",0.32,0.4,1
"Science","gr1","9",0.86,0.54,1
"Science","gr1","10",1,0.92,1
"Science","gr1","11",0.51,0.31,1
"Science","gr1","12",0.69,0.71,1
"Science","gr1","13",0.5,0.49,1
"Science","gr1","15",0.71,0.42,1
"Science","gr1","16",0.14,0.43,1
"Science","gr1","17",0.91,0.6,1
"Science","gr1","18",0.55,0.61,1
"Science","gr1","19",0.7,0.6,1
"Science","gr1","20",0.76,0.78,1
"Science","gr1","21",1,0.5,1
"Science","gr1","22",0.65,0.75,1
"Science","gr1","23",0.3,0.7,1
"Science","gr1","24",0.8,0.88,1
"Science","gr1","25",0.14,0.12,1
"Science","gr1","26",0.75,0.85,1
"Science","gr1","29",0.68,0.73,1
"Science","gr1","30",0.9,0.4,1
"Science","gr1","31",0.97,0.71,1
"Science","gr1","33",1,0.94,1
"Science","gr1","34",0.72,0.59,1
"Science","gr1","35",0.5,0.75,1
"Science","gr1","36",0.75,0.85,1
"Science","gr1","38",0.1,0.33,1
"Science","gr1","39",0.91,0.94,1
"Science","gr1","40",0.71,0.6,1
"Science","gr1","41",0.97,0.76,1
"Science","gr1","42",0.1,0.3,1
"Science","gr1","43",0.63,0.55,1
"Science","gr1","44",1,0.8,1
"Science","gr1","46",0.92,0.92,1
"Science","gr1","47",0.7,0.87,1
"Science","gr1","48",0.5,0.58,1
"Science","gr1","49",0.51,0.62,1
"Science","gr1","50",0.75,0.49,1
"Science","gr1","51",0.96,0.69,1
"Science","gr1","52",0.02,0.56,1
"Science","gr1","53",0.59,0.77,1
"Science","gr1","54",0.71,0.82,1
"Science","gr1","55",0.85,0.84,1
"Science","gr1","56",0.82,0.89,1
"Science","gr1","57",0.9,0.75,1
"Science","gr1","58",0,0.7,1
