"PROLIFIC_PID","exp_cond","quiz","quiz_correct","Duration..in.seconds.","clarity","age","Nationality","Gender","xi","prob_heads","hnum","common_flips","hnum_priv","private_flips","xi_shared","xi_private","imputed_omega"
"558a1a79fdf99b2d7699aa79","crowd30CG","3",1,"143","1",25,"United States",0,50,0.28,3,"HTTTTTTHTH",1,"TTHTTTTTTT",30,10,0
"558a1a79fdf99b2d7699aa79","crowd30CG","3",1,"143","1",25,"United States",0,50,0.6,6,"HHTHTHHTHT",8,"HHTHHHHHHT",60,80,0
"558a1a79fdf99b2d7699aa79","crowd30CG","3",1,"143","1",25,"United States",0,50,0.52,7,"HHTHHHHTTH",7,"HHHHHTTHHT",70,70,NA
"558a1a79fdf99b2d7699aa79","crowd30CG","3",1,"143","1",25,"United States",0,50,0.68,5,"HTHHTTHTHT",4,"HHHHTTTTTT",50,40,0
"558a1a79fdf99b2d7699aa79","crowd30CG","3",1,"143","1",25,"United States",0,50,0.26,2,"TTTHHTTTTT",3,"THTHTHTTTT",20,30,1
"558a1a79fdf99b2d7699aa79","crowd30CG","3",1,"143","1",25,"United States",0,50,0.52,6,"HTHTTTHHHH",2,"TTHTTHTTTT",60,20,0.25
"558a1a79fdf99b2d7699aa79","crowd30CG","3",1,"143","1",25,"United States",0,50,0.47,4,"TTHTHHTHTT",5,"THHTTTHHHT",40,50,1
"558a1a79fdf99b2d7699aa79","crowd30CG","3",1,"143","1",25,"United States",0,50,0.44,5,"HTHHTHTHTT",4,"HHTTTTTHHT",50,40,0
"558a1a79fdf99b2d7699aa79","crowd30CG","3",1,"143","1",25,"United States",0,50,0.47,5,"THTHTHHTTH",3,"HTTTHHTTTT",50,30,0
"558a1a79fdf99b2d7699aa79","crowd30CG","3",1,"143","1",25,"United States",0,50,0.47,5,"HHTTTHTHHT",8,"HHHHHHTHTH",50,80,0
"56e61dfff7957b000d18e425","crowd10CG","3",1,"208","1",23,"United States",1,90,0.32,1,"TTHTTTTTTT",5,"TTTTHHHHHT",10,50,1
"56e61dfff7957b000d18e425","crowd10CG","3",1,"208","1",23,"United States",1,60,0.43,5,"HTHTHTHTHT",4,"THTTHHTTHT",50,40,0
"56e61dfff7957b000d18e425","crowd10CG","3",1,"208","1",23,"United States",1,80,0.33,2,"TTHTTHTTTT",4,"TTTHTHHTTH",20,40,1
"56e61dfff7957b000d18e425","crowd10CG","3",1,"208","1",23,"United States",1,70,0.44,3,"TTTHHTHTTT",4,"TTTHHHTTTH",30,40,1
"56e61dfff7957b000d18e425","crowd10CG","3",1,"208","1",23,"United States",1,20,0.58,8,"HTHTHHHHHH",3,"HTTTTTHHTT",80,30,1
"56e61dfff7957b000d18e425","crowd10CG","3",1,"208","1",23,"United States",1,30,0.47,7,"HHHTTHHTHH",5,"HHHTHTTHTT",70,50,1
"56e61dfff7957b000d18e425","crowd10CG","3",1,"208","1",23,"United States",1,20,0.72,8,"HHHHHHTTHH",8,"HHHHHHTTHH",80,80,NA
"56e61dfff7957b000d18e425","crowd10CG","3",1,"208","1",23,"United States",1,80,0.52,3,"HTTTTHTTTH",4,"HHTTTTHHTT",30,40,1
"56e61dfff7957b000d18e425","crowd10CG","3",1,"208","1",23,"United States",1,50,0.4,6,"HHHTHTTHHT",1,"TTTTTTTTHT",60,10,0.2
"56e61dfff7957b000d18e425","crowd10CG","3",1,"208","1",23,"United States",1,45,0.51,6,"HHTHHTHHTT",3,"TTTHTHTTHT",60,30,0.5
"5728219fc68b5a000f39800b","crowd10CG","3",1,"156","1",30,"United States",1,65,0.61,6,"TTHHHHHHTT",7,"HHHHHTHTTH",60,70,0.5
