"PROLIFIC_PID","exp_cond","type","quiz","quiz_correct","Duration..in.seconds.","clarity","age","Nationality","Gender","xi","prob_heads","hnum","common_flips","hnum_priv","private_flips","xi_shared","xi_private","imputed_omega"
"56cb15ad64c068000b4d7ca5","crowd10","expert","3",1,"417","1",24,"United States",1,27,0.26,2,"TTTHHTTTTT",3,"TTTHTTHTHT",20,30,0.7
"56cb15ad64c068000b4d7ca5","crowd10","expert","3",1,"417","1",24,"United States",1,70,0.68,5,"HTHHTTHTHT",8,"HTHHHHHHHT",50,80,0.666666666666667
"56cb15ad64c068000b4d7ca5","crowd10","expert","3",1,"417","1",24,"United States",1,29,0.6,6,"HHTHTHHTHT",4,"TTTTTHHTHH",60,40,1
"56cb15ad64c068000b4d7ca5","crowd10","expert","3",1,"417","1",24,"United States",1,47,0.47,4,"TTHTHHTHTT",5,"HHTTHTHTHT",40,50,0.7
"56cb15ad64c068000b4d7ca5","crowd10","expert","3",1,"417","1",24,"United States",1,50,0.52,7,"HHTHHHHTTH",5,"TTHHHTHTHT",70,50,1
"56cb15ad64c068000b4d7ca5","crowd10","expert","3",1,"417","1",24,"United States",1,40,0.28,3,"HTTTTTTHTH",3,"HTTTTHTTHT",30,30,NA
"56cb15ad64c068000b4d7ca5","crowd10","expert","3",1,"417","1",24,"United States",1,20,0.47,5,"HHTTTHTHHT",1,"TTTHTTTTTT",50,10,0.75
"56cb15ad64c068000b4d7ca5","crowd10","expert","3",1,"417","1",24,"United States",1,83,0.52,6,"HTHTTTHHHH",9,"HHHTHHHHHH",60,90,0.766666666666667
"56cb15ad64c068000b4d7ca5","crowd10","expert","3",1,"417","1",24,"United States",1,13,0.47,5,"THTHTHHTTH",0,"TTTTTTTTTT",50,0,0.74
"56cb15ad64c068000b4d7ca5","crowd10","expert","3",1,"417","1",24,"United States",1,66,0.44,5,"HTHHTHTHTT",7,"THTHHHHHHT",50,70,0.8
"5806e73194364b00011f48e9","crowd10","expert","3",1,"291","1",24,"United States",0,0,0.32,4,"HHTTHTTHTT",3,"TTHHTHTTTT",40,30,1
"5806e73194364b00011f48e9","crowd10","expert","3",1,"291","1",24,"United States",0,100,0.61,6,"TTHHHHHHTT",7,"HHHHHTHTTH",60,70,1
"5806e73194364b00011f48e9","crowd10","expert","3",1,"291","1",24,"United States",0,0,0.32,5,"THHTHTTTHH",3,"TTTHTTHTHT",50,30,1
"5806e73194364b00011f48e9","crowd10","expert","3",1,"291","1",24,"United States",0,100,0.46,3,"TTTTHTTHTH",6,"HTTTTHHHHH",30,60,1
"5806e73194364b00011f48e9","crowd10","expert","3",1,"291","1",24,"United States",0,50,0.62,5,"THTHTTHTHH",5,"THTHHTHTHT",50,50,NA
