"PROLIFIC_PID","exp_cond","type","quiz","quiz_correct","Duration..in.seconds.","clarity","age","Nationality","Gender","xi","prob_heads","hnum","common_flips","xi_shared"
"58c376f9efb64f0001358464","crowd10","nonexpert","2",0,"221","1",35,"United States",1,"46",0.68,5,"HTHHTTHTHT",50
"58c376f9efb64f0001358464","crowd10","nonexpert","2",0,"221","1",35,"United States",1,"41",0.47,4,"TTHTHHTHTT",40
"58c376f9efb64f0001358464","crowd10","nonexpert","2",0,"221","1",35,"United States",1,"42",0.52,7,"HHTHHHHTTH",70
"58c376f9efb64f0001358464","crowd10","nonexpert","2",0,"221","1",35,"United States",1,"30",0.28,3,"HTTTTTTHTH",30
"58c376f9efb64f0001358464","crowd10","nonexpert","2",0,"221","1",35,"United States",1,"38",0.52,6,"HTHTTTHHHH",60
"58c376f9efb64f0001358464","crowd10","nonexpert","2",0,"221","1",35,"United States",1,"23",0.47,5,"HHTTTHTHHT",50
"58c376f9efb64f0001358464","crowd10","nonexpert","2",0,"221","1",35,"United States",1,"42",0.26,2,"TTTHHTTTTT",20
"58c376f9efb64f0001358464","crowd10","nonexpert","2",0,"221","1",35,"United States",1,"22",0.47,5,"THTHTHHTTH",50
"58c376f9efb64f0001358464","crowd10","nonexpert","2",0,"221","1",35,"United States",1,"25",0.44,5,"HTHHTHTHTT",50
"58c376f9efb64f0001358464","crowd10","nonexpert","2",0,"221","1",35,"United States",1,"53",0.6,6,"HHTHTHHTHT",60
"5b2fb4b86d601d0001d5d7ff","crowd10","nonexpert","1",1,"194","2",26,"United States",0,"70",0.52,7,"HHTHHHHTTH",70
"5b2fb4b86d601d0001d5d7ff","crowd10","nonexpert","1",1,"194","2",26,"United States",0,"20",0.26,2,"TTTHHTTTTT",20
"5b2fb4b86d601d0001d5d7ff","crowd10","nonexpert","1",1,"194","2",26,"United States",0,"50",0.68,5,"HTHHTTHTHT",50
"5b2fb4b86d601d0001d5d7ff","crowd10","nonexpert","1",1,"194","2",26,"United States",0,"40",0.47,4,"TTHTHHTHTT",40
"5b2fb4b86d601d0001d5d7ff","crowd10","nonexpert","1",1,"194","2",26,"United States",0,"50",0.47,5,"THTHTHHTTH",50
"5b2fb4b86d601d0001d5d7ff","crowd10","nonexpert","1",1,"194","2",26,"United States",0,"57",0.52,6,"HTHTTTHHHH",60
"5b2fb4b86d601d0001d5d7ff","crowd10","nonexpert","1",1,"194","2",26,"United States",0,"57",0.6,6,"HHTHTHHTHT",60
"5b2fb4b86d601d0001d5d7ff","crowd10","nonexpert","1",1,"194","2",26,"United States",0,"30",0.28,3,"HTTTTTTHTH",30
"5b2fb4b86d601d0001d5d7ff","crowd10","nonexpert","1",1,"194","2",26,"United States",0,"50",0.47,5,"HHTTTHTHHT",50
"5b2fb4b86d601d0001d5d7ff","crowd10","nonexpert","1",1,"194","2",26,"United States",0,"50",0.44,5,"HTHHTHTHTT",50
"5c144f5bb439140001543faf","crowd10","nonexpert","1",1,"140","1",24,"Nigeria",1,"50",0.68,5,"HTHHTTHTHT",50
"5c144f5bb439140001543faf","crowd10","nonexpert","1",1,"140","1",24,"Nigeria",1,"50",0.47,5,"HHTTTHTHHT",50
"5c144f5bb439140001543faf","crowd10","nonexpert","1",1,"140","1",24,"Nigeria",1,"30",0.28,3,"HTTTTTTHTH",30
"5c144f5bb439140001543faf","crowd10","nonexpert","1",1,"140","1",24,"Nigeria",1,"60",0.52,6,"HTHTTTHHHH",60
"5c144f5bb439140001543faf","crowd10","nonexpert","1",1,"140","1",24,"Nigeria",1,"41",0.47,4,"TTHTHHTHTT",40
"5c144f5bb439140001543faf","crowd10","nonexpert","1",1,"140","1",24,"Nigeria",1,"24",0.26,2,"TTTHHTTTTT",20
"5c144f5bb439140001543faf","crowd10","nonexpert","1",1,"140","1",24,"Nigeria",1,"50",0.47,5,"THTHTHHTTH",50
"5c144f5bb439140001543faf","crowd10","nonexpert","1",1,"140","1",24,"Nigeria",1,"51",0.44,5,"HTHHTHTHTT",50
"5c144f5bb439140001543faf","crowd10","nonexpert","1",1,"140","1",24,"Nigeria",1,"61",0.6,6,"HHTHTHHTHT",60
"5c144f5bb439140001543faf","crowd10","nonexpert","1",1,"140","1",24,"Nigeria",1,"62",0.52,7,"HHTHHHHTTH",70
"5c5ca44631c89c0001bae924","crowd10","nonexpert","1",1,"219","1",20,"United States",0,"30",0.37,3,"HTTTTTTTHH",30
