SubjectID,Condition,ConditionName,minutes,chosen,subCondition,weight,proportion,numShared,numPrivate,C1SharedSum,C1PrivateSum,theta1,C2SharedSum,C2PrivateSum,theta2,C3SharedSum,C3PrivateSum,theta3,C4SharedSum,C4PrivateSum,theta4,C5SharedSum,C5PrivateSum,theta5,C6SharedSum,C6PrivateSum,theta6,C7SharedSum,C7PrivateSum,theta7,C8SharedSum,C8PrivateSum,theta8,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,type,Quiz1,Quiz2,age,female,device,f1,g1,f2,g2,f3,g3,f4,g4,f5,g5,f6,g6,f7,g7,f8,g8
1,1,Symmetric,6.2,301,1,0.25,1,9,3,8,2,0.79804,6,2,0.51858,4,2,0.51963,8,3,0.88187,4,1,0.25622,6,3,0.72375,9,3,0.94236,3,0,0.37725,3,2,1,6,5,7,8,4,S,5,2,39,0,1,83,85,65,65,50,46,93,91,41,45,75,66,100,100,25,31
2,1,Symmetric,13.17,302,1,0.25,1,9,3,8,2,0.79804,6,2,0.51858,4,2,0.51963,8,1,0.88187,4,0,0.25622,6,2,0.72375,9,3,0.94236,3,1,0.37725,5,4,6,3,1,2,7,8,S,5,2,43,1,2,85,90,75,75,50,45,75,89,33,36,66,63,100,100,33,33
3,1,Symmetric,6.2,302,1,0.25,1,9,3,8,2,0.79804,6,2,0.51858,4,2,0.51963,8,1,0.88187,4,0,0.25622,6,2,0.72375,9,3,0.94236,3,1,0.37725,2,7,5,1,4,6,3,8,S,5,2,37,1,2,80,88,65,68,42,39,85,91,41,44,66,61,100,100,20,30
4,1,Symmetric,17.38,303,1,0.25,1,9,3,8,2,0.79804,6,2,0.51858,4,1,0.51963,8,3,0.88187,4,0,0.25622,6,3,0.72375,9,3,0.94236,3,0,0.37725,2,1,4,6,3,7,5,8,S,5,2,41,1,2,82,80,66,66,41,39,90,90,33,33,75,75,100,100,25,25
5,1,Symmetric,5.22,304,1,0.25,1,9,3,8,3,0.79804,6,2,0.51858,4,1,0.51963,8,2,0.88187,4,2,0.25622,6,2,0.72375,9,3,0.94236,3,2,0.37725,1,5,3,2,8,4,7,6,S,5,2,28,0,1,92,88,67,67,42,44,83,89,50,44,67,67,98,99,42,33
6,1,Symmetric,9.45,305,1,0.25,1,9,3,8,3,0.79804,6,0,0.51858,4,1,0.51963,8,2,0.88187,4,1,0.25622,6,2,0.72375,9,3,0.94236,3,2,0.37725,7,2,5,1,6,3,8,4,S,5,3,25,1,1,90,95,50,47,40,48,80,85,40,45,80,65,100,99,43,50
7,1,Symmetric,6.27,306,1,0.25,1,9,3,8,2,0.79804,6,3,0.51858,4,1,0.51963,8,3,0.88187,4,0,0.25622,6,3,0.72375,9,3,0.94236,3,1,0.37725,4,1,5,2,8,7,6,3,S,5,2,24,0,2,80,82,71,75,43,41,92,94,36,33,75,75,98,100,36,32
8,1,Symmetric,10.88,306,1,0.25,1,9,3,8,2,0.79804,6,3,0.51858,4,1,0.51963,8,3,0.88187,4,0,0.25622,6,3,0.72375,9,3,0.94236,3,1,0.37725,6,3,8,4,1,2,7,5,S,5,2,25,0,1,86,92,77,69,40,45,91,88,35,44,72,67,98,99,33,31
9,1,Symmetric,7.28,307,1,0.25,1,9,3,8,2,0.79804,6,1,0.51858,4,0,0.51963,8,3,0.88187,4,1,0.25622,6,3,0.72375,9,2,0.94236,3,1,0.37725,4,6,3,1,5,7,2,8,S,5,2,28,1,1,85,81,61,56,33,30,91,86,40,40,75,80,90,90,33,40
10,1,Symmetric,5.03,307,1,0.25,1,9,3,8,2,0.79804,6,1,0.51858,4,0,0.51963,8,3,0.88187,4,1,0.25622,6,3,0.72375,9,2,0.94236,3,1,0.37725,5,3,6,8,4,1,7,2,S,5,3,20,0,2,50,88,50,74,50,26,50,92,49,54,50,68,50,88,50,32
11,1,Symmetric,5.82,308,1,0.25,1,9,3,8,3,0.79804,6,3,0.51858,4,2,0.51963,8,3,0.88187,4,1,0.25622,6,2,0.72375,9,3,0.94236,3,1,0.37725,7,8,4,6,1,3,5,2,S,5,2,30,0,2,93,90,65,69,48,51,88,92,42,37,58,62,95,98,33,36
12,1,Symmetric,12.75,310,1,0.25,1,9,3,8,3,0.79804,6,2,0.51858,4,1,0.51963,8,3,0.88187,4,1,0.25622,6,1,0.72375,9,3,0.94236,3,1,0.37725,1,7,8,4,5,6,2,3,S,5,2,32,0,1,89,87,65,60,29,32,84,85,37,38,57,55,100,99,25,28
13,1,Symmetric,11.45,310,1,0.25,1,9,3,8,3,0.79804,6,2,0.51858,4,1,0.51963,8,3,0.88187,4,1,0.25622,6,1,0.72375,9,3,0.94236,3,1,0.37725,6,7,2,4,1,5,3,8,S,5,2,21,0,2,90,84,69,54,50,60,83,76,36,46,64,54,100,100,33,45
14,1,Symmetric,8.33,312,1,0.25,1,9,3,8,2,0.79804,6,2,0.51858,4,0,0.51963,8,1,0.88187,4,2,0.25622,6,3,0.72375,9,3,0.94236,3,2,0.37725,5,1,4,7,3,8,2,6,S,5,2,23,1,1,83,88,67,66,33,44,75,89,50,44,75,66,100,98,42,33
15,1,Symmetric,6.83,312,1,0.25,1,9,3,8,2,0.79804,6,2,0.51858,4,0,0.51963,8,1,0.88187,4,2,0.25622,6,3,0.72375,9,3,0.94236,3,2,0.37725,6,5,7,8,3,1,2,4,S,5,2,27,1,1,88,70,60,50,14,25,70,80,60,40,72,80,95,90,50,40
16,1,Symmetric,12.35,313,1,0.25,1,9,3,8,3,0.79804,6,1,0.51858,4,3,0.51963,8,3,0.88187,4,0,0.25622,6,2,0.72375,9,2,0.94236,3,1,0.37725,1,5,8,4,2,3,7,6,S,5,2,68,1,2,90,90,80,74,75,75,95,94,75,70,75,70,99,99,25,40
17,1,Symmetric,9.27,314,1,0.25,1,9,3,8,2,0.79804,6,2,0.51858,4,2,0.51963,8,3,0.88187,4,0,0.25622,6,2,0.72375,9,3,0.94236,3,0,0.37725,3,7,4,2,5,6,8,1,S,5,2,27,0,2,10,30,8,22,6,25,11,29,4,30,8,21,12,33,3,18
18,1,Symmetric,14.58,315,1,0.25,1,9,3,8,3,0.79804,6,1,0.51858,4,2,0.51963,8,1,0.88187,4,0,0.25622,6,1,0.72375,9,3,0.94236,3,0,0.37725,4,3,,,2,5,6,1,S,5,5,23,0,2,96,97,66,64,52,50,89,90,32,36,68,68,99,99,28,32
19,1,Symmetric,8.05,316,1,0.25,1,9,3,8,2,0.79804,6,1,0.51858,4,2,0.51963,8,3,0.88187,4,1,0.25622,6,2,0.72375,9,3,0.94236,3,0,0.37725,5,2,3,6,8,7,4,1,S,5,2,61,0,2,83,90,58,60,50,50,92,96,42,40,67,67,100,100,25,30
20,1,Symmetric,6.92,316,1,0.25,1,9,3,8,2,0.79804,6,1,0.51858,4,2,0.51963,8,3,0.88187,4,1,0.25622,6,2,0.72375,9,3,0.94236,3,0,0.37725,4,7,8,5,1,6,2,3,S,5,5,22,0,2,90,92,64,76,64,49,96,88,42,50,81,91,100,100,16,38
